SPC Yishun,599 Yishun Ring Road S(768683),1.417542,103.837823,Choice Store/ Speedy Care Service,UOB ATM/ DBS ATM/ AXS Station,67533567
SPC Yio Chu Kang,76 Yio Chu Kang Road S(545570),1.357796,103.875341,Choice Store,UOB ATM/ AXS Station,63829976
SPC Upper Thomson,98 Upper Thomson Road S(574330),1.324782,103.841666,Choice Store,AXS Station,63533530
SPC Upper Serangoon,849 Upper Serangoon Road S(534686),1.358476,103.882796,Choice Store/ Car Wash,AXS Station/ UOB ATM,62823583
SPC Upper East Coast,157 Upper East Coast Road S(455253),1.314197,103.931112,Choice Store/ Speedy Care Service/ Car Wash,UOB ATM/ DBS ATM/ AXS Station,62413914
SPC Toa Payoh Lor 6,180 Toa Payoh Lor 6 S(319381),1.335755,103.855494,Choice Store/ Car Wash/ Speedy Care Service,UOB ATM/ AXS Station,62531901
SPC Thomson,327 Thomson Road S(307673),1.324782,103.841666,Choice Store/ Car Wash,AXS Station,62595294
SPC Telok Blangah,616 Telok Blangah Road S(109027),1.271821,103.807099,Choice Store/ Car Wash,UOB ATM/ AXS Station,62705693
SPC Tanjong Katong,1 Swanage Road S(437168),1.308311,103.894684,Choice Store,UOB ATM/ AXS Station,64472729
SPC Tampines,10 Tampines Ave 4 S(529679),1.348638,103.938562,Choice Store,UOB ATM/ AXS Station,64433910
SPC Sengkang,91 Sengkang East Way S(544885),1.391117,103.898903,Choice Store,UOB ATM/ DBS ATM/ AXS Station,63887572
SPC Sembawang,588 Sembawang Road S(758448),1.440098,103.825224,Choice Store,AXS Station,67541770
SPC Queensway,264 Queensway S(149062),1.291378,103.80083,Choice Store/ Car Wash,UOB ATM/ AXS Station,64758726
SPC Punggol,100 Punggol Central S(828839),1.400597,103.909098,Choice Store/ Car Wash,UOB ATM/ DBS ATM/ AXS Station,64898368
SPC Pasir Ris,11 Pasir Ris Drive 4 S(519456),1.370957,103.960383,Choice Store/ Speedy Care Service,AXS Station,65822621
SPC Pasir Panjang,158 Pasir Panjang Road S(118555),1.277156,103.790603,Choice Store/ Car Wash/ Speedy Care Service,UOB ATM/ DBS ATM/ AXS Station,62733400
SPC Mountbatten,710 Mountbatten Road S(437734),1.302123,103.884317,Choice Store/ Car Wash,UOB ATM/ DBS ATM/ AXS Station,64473256
SPC Macpherson,429 Macpherson Road S(368140),1.331865,103.880311,Choice Store/ Car Wash,UOB ATM/ DBS ATM/ AXS Station,62824116
SPC Killiney,132 Killiney Road S(239562),1.297636,103.838132,Choice Store,AXS Station/ UOB ATM,67374164
SPC Jurong West,100 Jurong West Ave 1 S(649519),1.349614,103.71478,Choice Store/ Car Wash,UOB ATM/ AXS Station,65661783
SPC Jurong East,91 Jurong East Ave 1 S(609786),1.342353,103.737349,Choice Store/ Car Wash,DBS ATM/ AXS Station,65609786
SPC Jervois Road,2 Jervois Road S(248994),1.29314,103.825964,Choice Store/ Speedy Care Service,UOB ATM/ AXS Station,64761484
SPC Jalan Leban,1 Jalan Leban S(577546),1.371846,103.828955,Choice Store/ Speedy Care Service,UOB ATM/ AXS Station,64560967
SPC Jalan Buroh,33 Jalan Buroh S(619487),1.314792,103.714934,Choice Store/ Speedy Care Service,UOB ATM/ DBS ATM/ AXS Station,62688669
SPC Hougang,120 Hougang Ave 2 S(538858),1.368737,103.884228,Choice Store/ Car Wash/ Speedy Care Services,UOB ATM/ DBS ATM,62829085
SPC Havelock,397 Havelock Road S(169630),1.288525,103.838205,Choice Store/ Car Wash,AXS Station,67341478
SPC Dunearn,260 Dunearn Road S(299542),1.323134,103.819317,Choice Store,UOB ATM/ DBS ATM/ AXS Station,62511006
SPC Commonwealth,490 Commonwealth Ave S(149736),1.30576,103.79515,Choice Store,AXS Station/ UOB ATM,67778413
SPC Changi,337 Changi Road S(419810),1.31855,103.908733,Choice Store/ Car Wash,UOB ATM,67410869
SPC Bukit Panjang,41 Bukit Panjang Ring Road S679945,1.383392,103.772742,Choice Store/ Car Wash,UOB ATM/ DBS ATM/ AXS Station,67663936
SPC Bt Timah 2,623A Bukit Timah Road S(269733),1.324801,103.808634,Choice Store,UOB ATM/ AXS Station,64679976
SPC Bt Timah 1,331 Bukit Timah Road S(259717),1.347202,103.770878,Choice Store/ Car Wash,nil,67341108
